H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
H,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,H
H,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,H
H,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,H
H,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,H
H,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,H
H,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,H
H,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,H
H,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,H
H,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,H
H,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PTL,PT,PTR,-,-,-,-,-,H
H,-,-,-,-,-,-,-,-,-,-,-,-,PS,-,-,-,-,-,-,-,-,-,PL,PO,PR,-,-,-,-,-,H
H,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,POB,-,-,-,PBL,PB,PBR,-,-,-,-,-,H
H,-,S,S,S,S,S,S,-,-,-,-,-,-,-,-,-,-,-,PV,-,-,-,-,-,-,-,-,-,-,-,H
H,-,S,-,-,-,-,S,-,-,-,-,O,-,-,-,-,-,-,PV,-,-,-,-,-,-,-,-,O,-,-,H
H,-,S,-,-,-,-,S,-,-,-,-,-,-,-,-,O,-,-,POT,-,-,-,-,-,-,-,-,-,-,-,H
H,-,S,-,PC,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,O,-,-,-,-,-,-,-,H
H,-,S,-,-,-,-,S,-,-,-,POR,PH,PH,PH,POL,-,-,-,-,-,-,-,-,-,-,POR,PH,POL,-,-,H
H,-,S,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,POR,PH,PH,PH,POL,-,-,-,-,-,-,-,H
H,-,POR,PH,PH,PH,PH,POL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,H
H,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,H
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
